date,堵车
2017-01-01,66
2017-01-02,69
2017-01-03,73
2017-01-04,60
2017-01-05,129
2017-01-06,133
2017-01-07,123
2017-01-08,66
2017-01-09,118
2017-01-10,127
2017-01-11,65
2017-01-12,130
2017-01-13,125
2017-01-14,136
2017-01-15,66
2017-01-16,136
2017-01-17,133
2017-01-18,154
2017-01-19,137
2017-01-20,126
2017-01-21,144
2017-01-22,129
2017-01-23,135
2017-01-24,122
2017-01-25,129
2017-01-26,73
2017-01-27,118
2017-01-28,66
2017-01-29,70
2017-01-30,66
2017-01-31,87
2017-02-01,148
2017-02-02,109
2017-02-03,151
2017-02-04,131
2017-02-05,137
2017-02-06,140
2017-02-07,70
2017-02-08,127
2017-02-09,131
2017-02-10,120
2017-02-11,69
2017-02-12,125
2017-02-13,123
2017-02-14,136
2017-02-15,61
2017-02-16,61
2017-02-17,129
2017-02-18,70
2017-02-19,65
2017-02-20,65
2017-02-21,140
2017-02-22,127
2017-02-23,123
2017-02-24,126
2017-02-25,78
2017-02-26,73
2017-02-27,138
2017-02-28,79
2017-03-01,124
2017-03-02,60
2017-03-03,61
2017-03-04,117
2017-03-05,66
2017-03-06,61
2017-03-07,61
2017-03-08,122
2017-03-09,122
2017-03-10,57
2017-03-11,61
2017-03-12,126
2017-03-13,79
2017-03-14,79
2017-03-15,125
2017-03-16,61
2017-03-17,78
2017-03-18,118
2017-03-19,125
2017-03-20,74
2017-03-21,66
2017-03-22,123
2017-03-23,118
2017-03-24,142
2017-03-25,61
2017-03-26,66
2017-03-27,125
2017-03-28,117
2017-03-29,114
2017-03-30,128
2017-03-31,125
2017-04-01,132
2017-04-02,126
2017-04-03,130
2017-04-04,192
2017-04-05,131
2017-04-06,70
2017-04-07,130
2017-04-08,65
2017-04-09,60
2017-04-10,135
2017-04-11,69
2017-04-12,65
2017-04-13,123
2017-04-14,65
2017-04-15,66
2017-04-16,65
2017-04-17,131
2017-04-18,114
2017-04-19,126
2017-04-20,125
2017-04-21,130
2017-04-22,57
2017-04-23,60
2017-04-24,125
2017-04-25,118
2017-04-26,118
2017-04-27,119
2017-04-28,138
2017-04-29,158
2017-04-30,83
2017-05-01,188
2017-05-02,70
2017-05-03,57
2017-05-04,126
2017-05-05,73
2017-05-06,118
2017-05-07,66
2017-05-08,128
2017-05-09,69
2017-05-10,125
2017-05-11,127
2017-05-12,91
2017-05-13,123
2017-05-14,61
2017-05-15,126
2017-05-16,121
2017-05-17,66
2017-05-18,127
2017-05-19,120
2017-05-20,69
2017-05-21,128
2017-05-22,128
2017-05-23,124
2017-05-24,125
2017-05-25,121
2017-05-26,127
2017-05-27,131
2017-05-28,129
2017-05-29,69
2017-05-30,133
2017-05-31,70
2017-06-01,61
2017-06-02,65
2017-06-03,66
2017-06-04,61
2017-06-05,127
2017-06-06,60
2017-06-07,118
2017-06-08,130
2017-06-09,83
2017-06-10,139
2017-06-11,105
2017-06-12,174
2017-06-13,153
2017-06-14,151
2017-06-15,132
2017-06-16,78
2017-06-17,92
2017-06-18,139
2017-06-19,99
2017-06-20,149
2017-06-21,74
2017-06-22,120
2017-06-23,74
2017-06-24,66
2017-06-25,57
2017-06-26,73
2017-06-27,122
2017-06-28,79
2017-06-29,78
2017-06-30,69
2017-07-01,117
2017-07-02,73
2017-07-03,70
2017-07-04,79
2017-07-05,141
2017-07-06,124
2017-07-07,129
2017-07-08,69
2017-07-09,127
2017-07-10,70
2017-07-11,127
2017-07-12,61
2017-07-13,117
2017-07-14,66
2017-07-15,118
2017-07-16,117
2017-07-17,120
2017-07-18,117
2017-07-19,126
2017-07-20,133
2017-07-21,127
2017-07-22,65
2017-07-23,117
2017-07-24,124
2017-07-25,118
2017-07-26,127
2017-07-27,128
